Time,Source,Sequence
1.14167,4,65145
1.14176,4,66103
1.14185,4,67061
1.14194,4,68019
1.14203,4,68977
1.14212,4,69935
1.14221,4,70893
1.1423,4,71851
1.14239,4,72809
1.14248,4,73767
1.14257,4,74725
1.14266,4,75683
1.14275,4,76641
1.14284,4,77599
1.14293,4,78557
1.14302,4,79515
1.1431,4,80473
1.1432,4,81431
1.14328,4,82389
1.14338,4,83347
1.14346,4,84305
1.14356,4,85263
1.14364,4,86221
1.14374,4,87179
1.14382,4,88137
1.14392,4,89095
1.144,4,90053
1.1441,4,91011
1.14418,4,91969
1.14428,4,92927
1.14436,4,93885
1.14446,4,94843
1.14454,4,95801
1.14464,4,96759
1.14472,4,97717
1.14482,4,98675
1.1449,4,99633
1.145,4,100591
1.14508,4,101549
1.14518,4,102507
1.14526,4,103465
1.14536,4,104423
1.14544,4,105381
1.14554,4,106339
1.14562,4,107297
1.14572,4,108255
1.1458,4,109213
1.1459,4,110171
1.14598,4,111129
1.14608,4,112087
1.14616,4,113045
1.14626,4,114003
1.14634,4,114961
1.14644,4,115919
1.14652,4,116877
1.14662,4,117835
1.1467,4,118793
1.1468,4,119751
1.14688,4,120709
1.14698,1,60355
1.14706,1,61313
1.14716,1,62271
1.14724,1,63229
1.14734,1,64187
1.14742,1,65145
1.14752,1,66103
1.1476,1,67061
1.1477,1,68019
1.14778,1,68977
1.14788,1,69935
1.14796,1,70893
1.14806,1,71851
1.14814,1,72809
1.14824,1,73767
1.14832,1,74725
1.14842,1,75683
1.1485,1,76641
1.1486,1,77599
1.14868,1,78557
1.14878,1,79515
1.14886,1,80473
1.14896,1,81431
1.14904,1,82389
1.14914,1,83347
1.14922,1,84305
1.14932,1,85263
1.1494,1,86221
1.1495,1,87179
1.14958,1,88137
1.14968,1,89095
1.14976,1,90053
1.14986,1,91011
1.14994,1,91969
1.15004,1,92927
1.15012,1,93885
1.15022,1,94843
1.1503,1,95801
1.1504,1,96759
1.15048,1,97717
1.15058,1,98675
1.15066,1,99633
1.15076,1,100591
1.15084,1,101549
1.15094,1,102507
1.15102,1,103465
1.15112,1,104423
1.1512,1,105381
1.1513,1,106339
1.15138,1,107297
1.15148,1,108255
1.15156,1,109213
1.15166,1,110171
1.15174,1,111129
1.15184,1,112087
1.15192,1,113045
1.15202,1,114003
1.1521,1,114961
1.1522,1,115919
1.15228,1,116877
1.15238,1,117835
1.15246,1,118793
1.15256,1,119751
1.15264,1,120709
1.15274,2,60355
1.15282,2,61313
1.15292,2,62271
1.153,2,63229
1.1531,2,64187
1.15318,2,65145
1.15328,2,66103
1.15336,2,67061
1.15346,2,68019
1.15354,2,68977
1.15364,2,69935
1.15372,2,70893
1.15382,2,71851
1.1539,2,72809
1.154,2,73767
1.15408,2,74725
1.15418,2,75683
1.15426,2,76641
1.15436,2,77599
1.15444,2,78557
1.15454,2,79515
1.15462,2,80473
1.15472,2,81431
1.1548,2,82389
1.1549,2,83347
1.15498,2,84305
1.15508,2,85263
1.15516,2,86221
1.15526,2,87179
1.15534,2,88137
1.15544,2,89095
1.15552,2,90053
1.15562,2,91011
1.1557,2,91969
1.1558,2,92927
1.15588,2,93885
1.15598,2,94843
1.15606,2,95801
1.15616,2,96759
1.15624,2,97717
1.15634,2,98675
1.15642,2,99633
1.15652,2,100591
1.1566,2,101549
1.1567,2,102507
1.15678,2,103465
1.15688,2,104423
1.15696,2,105381
1.15706,2,106339
1.15714,2,107297
1.15724,2,108255
1.15732,2,109213
1.15742,2,110171
1.1575,2,111129
1.1576,2,112087
1.15768,2,113045
1.15778,2,114003
1.15786,2,114961
1.15796,2,115919
1.15804,2,116877
1.15814,2,117835
1.15822,2,118793
1.15832,2,119751
1.1584,2,120709
1.1585,3,60355
1.15858,3,61313
1.15868,3,62271
1.15876,3,63229
1.15886,3,64187
1.15894,3,65145
1.15904,3,66103
1.15912,3,67061
1.15922,3,68019
1.1593,3,68977
1.1594,3,69935
1.15948,3,70893
1.15958,3,71851
1.15966,3,72809
1.15976,3,73767
1.15984,3,74725
1.15994,3,75683
1.16002,3,76641
1.16012,3,77599
1.1602,3,78557
1.1603,3,79515
1.16038,3,80473
1.16048,3,81431
1.16056,3,82389
1.16066,3,83347
1.16074,3,84305
1.16084,3,85263
1.16092,3,86221
1.16102,3,87179
1.1611,3,88137
1.16119,3,89095
1.16128,3,90053
1.16137,3,91011
1.16146,3,91969
1.16155,3,92927
1.16164,3,93885
1.16173,3,94843
1.16182,3,95801
1.16191,3,96759
1.162,3,97717
1.16209,3,98675
1.16218,3,99633
1.16227,3,100591
1.16236,3,101549
1.16245,3,102507
1.16254,3,103465
1.16263,3,104423
1.16272,3,105381
1.16281,3,106339
1.1629,3,107297
1.16299,3,108255
1.16308,3,109213
1.16317,3,110171
1.16325,3,111129
1.16335,3,112087
1.16343,3,113045
1.16353,3,114003
1.16361,3,114961
1.16371,3,115919
1.16379,3,116877
1.16389,3,117835
1.16397,3,118793
1.16407,3,119751
1.16415,3,120709
1.16425,4,60355
1.16433,4,61313
1.16443,4,62271
1.16451,4,63229
1.16461,4,64187
1.16469,4,65145
1.16479,4,66103
1.16487,4,67061
1.16497,4,68019
1.16505,4,68977
1.16515,4,69935
1.16523,4,70893
1.16533,4,71851
1.16541,4,72809
1.16551,4,73767
1.16559,4,74725
1.16569,4,75683
1.16577,4,76641
1.16587,4,77599
1.16595,4,78557
1.16605,4,79515
1.16613,4,80473
1.16623,4,81431
1.16631,4,82389
1.16641,4,83347
1.16649,4,84305
1.16659,4,85263
1.16667,4,86221
1.16677,4,87179
1.16685,4,88137
1.16695,4,89095
1.16703,4,90053
1.16713,4,91011
1.16721,4,91969
1.16731,4,92927
1.16739,4,93885
1.16749,4,94843
1.16757,4,95801
1.16767,4,96759
1.16775,4,97717
1.16785,4,98675
1.16793,4,99633
1.16803,4,100591
1.16811,4,101549
1.16821,4,102507
1.16829,4,103465
1.16839,4,104423
1.16847,4,105381
1.16857,4,106339
1.16865,4,107297
1.16875,4,108255
1.16883,4,109213
1.16893,4,110171
1.16901,4,111129
1.16911,4,112087
1.16919,4,113045
1.16929,4,114003
1.16937,4,114961
1.16947,4,115919
1.16955,4,116877
1.16965,4,117835
1.16973,4,118793
1.16983,4,119751
1.16991,4,120709
1.17001,1,121667
1.17009,1,122625
1.17019,1,123583
1.17027,1,124541
1.17037,1,125499
1.17045,1,126457
1.17055,1,127415
1.17063,1,128373
1.17073,1,129331
1.17081,1,130289
1.17091,1,131247
1.17099,1,132205
1.17109,1,133163
1.17117,1,134121
1.17127,1,135079
1.17135,1,136037
1.17145,1,136995
1.17153,1,137953
1.17163,1,138911
1.17171,1,139869
1.17181,1,140827
1.17189,1,141785
1.17199,1,142743
1.17207,1,143701
1.17217,1,144659
1.17225,1,145617
1.17235,1,146575
1.17243,1,147533
1.17253,1,148491
1.17261,1,149449
1.17271,1,150407
1.17279,1,151365
1.17289,1,152323
1.17297,1,153281
1.17307,1,154239
1.17315,1,155197
1.17325,1,156155
1.17333,1,157113
1.17343,1,158071
1.17351,1,159029
1.17361,1,159987
1.17369,1,160945
1.17379,1,161903
1.17387,1,162861
1.17397,1,163819
1.17405,1,164777
1.17415,1,165735
1.17423,1,166693
1.17433,1,167651
1.17441,1,168609
1.17451,1,169567
1.17459,1,170525
1.17469,1,171483
1.17477,1,172441
1.17487,1,173399
1.17495,1,174357
1.17505,1,175315
1.17513,1,176273
1.17523,1,177231
1.17531,1,178189
1.17541,1,179147
1.17549,1,180105
1.17559,1,181063
1.17567,1,182021
1.17577,1,182979
1.17585,1,183937
1.17595,1,184895
1.17603,1,185853
1.17613,1,186811
1.17621,1,187769
1.17631,1,188727
1.17639,1,189685
1.17649,1,190643
1.17657,1,191601
1.17667,1,192559
1.17675,1,193517
1.17685,1,194475
1.17693,1,195433
1.17703,1,196391
1.17711,1,197349
1.17721,1,198307
1.17729,1,199265
1.17739,1,200223
1.17747,1,201181
1.17757,1,202139
1.17765,1,203097
1.17775,1,204055
1.17783,1,205013
1.17793,1,205971
1.17801,1,206929
1.17811,1,207887
1.17819,1,208845
1.17829,1,209803
1.17837,1,210761
1.17847,1,211719
1.17855,1,212677
1.17865,1,213635
1.17873,1,214593
1.17883,1,215551
1.17891,1,216509
1.17901,1,217467
1.17909,1,218425
1.17919,1,219383
1.17927,1,220341
1.17937,1,221299
1.17945,1,222257
1.17955,1,223215
1.17963,1,224173
1.17973,1,225131
1.17981,1,226089
1.17991,1,227047
1.17999,1,228005
1.18009,1,228963
1.18017,1,229921
1.18027,1,230879
1.18035,1,231837
1.18045,1,232795
1.18053,1,233753
1.18063,1,234711
1.18071,1,235669
1.18081,1,236627
1.18089,1,237585
1.18099,1,238543
1.18107,1,239501
1.18117,1,240459
1.18125,1,241417
1.18135,1,242375
1.18143,1,243333
1.18152,2,121667
1.18161,2,122625
1.1817,2,123583
1.18179,2,124541
1.18188,2,125499
1.18197,2,126457
1.18206,2,127415
1.18215,2,128373
1.18224,2,129331
1.18233,2,130289
1.18242,2,131247
1.1826,2,132205
1.18278,2,65145
1.18764,3,121667
1.18772,3,122625
1.18782,3,123583
1.188,3,124541
1.18818,3,61313
1.1934,4,121667
1.19348,4,122625
1.19358,4,123583
1.19376,4,124541
1.19394,4,61313
1.19916,1,121667
1.19924,1,122625
1.19934,1,123583
1.19952,1,124541
1.1997,1,61313
1.20491,2,121667
1.20499,2,122625
1.20509,2,123583
1.20527,2,124541
1.20545,2,61313
1.21067,3,121667
1.21075,3,122625
1.21085,3,123583
1.21103,3,124541
1.21121,3,61313
1.21643,4,121667
1.21651,4,122625
1.21661,4,123583
1.21679,4,124541
1.21697,4,61313
1.22218,1,244291
1.22227,1,245249
1.22236,1,246207
1.22254,1,247165
1.22272,1,122625
1.23478,2,67061
1.23568,3,63229
1.23576,3,125499
1.23658,4,63229
1.23666,4,125499
1.23748,1,63229
1.23756,1,125499
1.23838,2,63229
1.23846,2,125499
1.23928,3,63229
1.23936,3,125499
1.24018,4,63229
1.24026,4,125499
1.24108,1,124541
1.24116,1,248123
1.25114,2,68977
1.25204,3,65145
1.25212,3,126457
1.25222,3,127415
1.25294,4,65145
1.25302,4,126457
1.25312,4,127415
1.25384,1,65145
1.25392,1,126457
1.25402,1,127415
1.25474,2,65145
1.25482,2,126457
1.25492,2,127415
1.25564,3,65145
1.25572,3,126457
1.25582,3,127415
1.25654,4,65145
1.25662,4,126457
1.25672,4,127415
1.25744,1,126457
1.25752,1,249081
1.25762,1,250039
1.2675,2,70893
1.26758,2,133163
1.2684,3,67061
1.26848,3,128373
1.26858,3,129331
1.26876,3,130289
1.2693,4,67061
1.26938,4,128373
1.26948,4,129331
1.26966,4,130289
1.2702,1,67061
1.27028,1,128373
1.27038,1,129331
1.27056,1,130289
1.2711,2,67061
1.27118,2,128373
1.27128,2,129331
1.27146,2,130289
1.272,3,67061
1.27208,3,128373
1.27218,3,129331
1.27236,3,130289
1.2729,4,67061
1.27298,4,128373
1.27308,4,129331
1.27326,4,130289
1.2738,1,128373
1.27388,1,250997
1.27398,1,251955
1.27416,1,252913
1.28386,2,72809
1.28394,2,134121
1.28404,2,135079
1.28476,3,68977
1.28484,3,131247
1.28494,3,132205
1.28512,3,133163
1.2853,3,134121
1.28566,4,68977
1.28574,4,131247
1.28584,4,132205
1.28602,4,133163
1.2862,4,134121
1.28656,1,68977
1.28664,1,131247
1.28674,1,132205
1.28692,1,133163
1.2871,1,134121
1.28746,2,68977
1.28754,2,131247
1.28764,2,132205
1.28782,2,133163
1.288,2,134121
1.28836,3,68977
1.28844,3,131247
1.28854,3,132205
1.28872,3,133163
1.2889,3,134121
1.28926,4,68977
1.28934,4,131247
1.28944,4,132205
1.28962,4,133163
1.2898,4,134121
1.29016,1,130289
1.29024,1,253871
1.29034,1,254829
1.29052,1,255787
1.2907,1,256745
1.30022,2,74725
1.3003,2,136037
1.3004,2,136995
1.30058,2,137953
1.30112,3,70893
1.3012,3,135079
1.3013,3,136037
1.30148,3,136995
1.30166,3,137953
1.30184,3,138911
1.30202,4,70893
1.3021,4,135079
1.3022,4,136037
1.30238,4,136995
1.30256,4,137953
1.30274,4,138911
1.30292,1,70893
1.303,1,135079
1.3031,1,136037
1.30328,1,136995
1.30346,1,137953
1.30364,1,138911
1.30382,2,70893
1.3039,2,135079
1.304,2,136037
1.30418,2,136995
1.30436,2,137953
1.30454,2,138911
1.30472,3,70893
1.3048,3,135079
1.3049,3,136037
1.30508,3,136995
1.30526,3,137953
1.30544,3,138911
1.30562,4,70893
1.3057,4,135079
1.3058,4,136037
1.30598,4,136995
1.30616,4,137953
1.30634,4,138911
1.30652,1,132205
1.3066,1,257703
1.3067,1,258661
1.30688,1,259619
1.30706,1,260577
1.30724,1,261535
1.31658,2,76641
1.31666,2,138911
1.31676,2,139869
1.31694,2,140827
1.31712,2,141785
1.31748,3,72809
1.31756,3,139869
1.31766,3,140827
1.31784,3,141785
1.31802,3,142743
1.3182,3,143701
1.31838,3,144659
1.31856,4,72809
1.31864,4,139869
1.31874,4,140827
1.31892,4,141785
1.3191,4,142743
1.31928,4,143701
1.31946,4,144659
1.31964,1,72809
1.31972,1,139869
1.31982,1,140827
1.32,1,141785
1.32018,1,142743
1.32036,1,143701
1.32054,1,144659
1.32072,2,72809
1.3208,2,139869
1.3209,2,140827
1.32108,2,141785
1.32126,2,142743
1.32144,2,143701
1.32162,2,144659
1.3218,3,72809
1.32188,3,139869
1.32198,3,140827
1.32216,3,141785
1.32234,3,142743
1.32252,3,143701
1.3227,3,144659
1.32288,4,72809
